Date,Close,High,Low,Open,Volume
2023-01-11,-4.801543235778809,-4.801543235778809,-4.801543235778809,-4.801543235778809,92807
2023-01-12,-5.2804155349731445,-5.2804155349731445,-5.2804155349731445,-5.2804155349731445,173040
2023-01-13,-5.806319236755371,-5.806319236755371,-5.806319236755371,-5.806319236755371,968908
2023-01-16,-5.9687933921813965,-6.37925484408166,-5.9217614994791585,-6.054306109711285,53720962
2023-01-17,-5.767838001251221,-5.964517448665415,-5.712254634834515,-5.964517448665415,27326162
2023-01-18,-6.340774059295654,-6.340774059295654,-5.725082081435598,-5.759287168663557,24702888
2023-01-19,-6.973568439483643,-6.973568439483643,-6.409184103900076,-6.413459841656144,7358902
2023-01-20,-7.238658428192139,-7.67049815279252,-7.097562345145565,-7.67049815279252,36004571
2023-01-23,-6.768338203430176,-7.234383036662124,-6.550280461829699,-7.234383036662124,16653920
2023-01-24,-6.772614002227783,-7.114664884961052,-6.430562711737698,-6.7341331759810865,14725725
2023-01-25,-7.448164463043213,-7.448164463043212,-6.652895617838744,-6.772613416440573,22459865
2023-01-26,-8.192126274108887,-8.192126274108887,-7.144594135199501,-7.349825477478787,24517924
2023-01-27,-8.358875274658203,-8.867676626532827,-7.867176873004229,-8.27763870765077,24128945
2023-01-30,-7.7602858543396,-8.594035917956177,-7.7346322446092035,-8.504247060629467,13562565
2023-01-31,-7.268588066101074,-7.79876733306093,-7.037703112554856,-7.794491595160412,11233768
2023-02-01,-6.982120037078857,-7.674774070914827,-6.977844299248027,-7.28569089895895,7087908
2023-02-02,-6.691376209259033,-7.089010846213822,-6.293741980061037,-7.054805759998011,7409731
2023-02-03,-6.883780479431152,-6.939363439929559,-6.541729202037386,-6.691376355564358,6585585
2023-02-06,-6.811094284057617,-6.866677242241366,-6.443389002875142,-6.751235180485479,1002251
2023-02-07,-6.1868510246276855,-6.798267250597831,-6.131267657220073,-6.798267250597831,3889686
2023-02-08,-5.626741886138916,-5.626741886138916,-5.626741886138916,-5.626741886138916,18
2023-02-15,-6.5673828125,-6.712754635954592,-5.806319016024732,-6.109889468604382,4387443
2023-02-16,-6.156920909881592,-6.798266854984123,-6.084235003482763,-6.584484873283279,3677585
2023-02-17,-6.174023628234863,-6.4091838963656045,-5.8405238414396345,-6.109889194997743,4474510
2023-02-20,-6.276639461517334,-6.409184069183127,-6.126991902919909,-6.174023794711514,2225561
2023-02-21,-6.122716426849365,-6.392081799182338,-5.981620337687828,-6.268088253926539,3871279
2023-02-22,-5.998722553253174,-6.18685093367588,-5.98589574796515,-6.122716091722181,2030458
2023-02-23,-6.161196708679199,-6.30656852292326,-5.981619809643215,-5.994447022257767,2640411
2023-02-24,-6.182575225830078,-6.366427869458414,-6.032927668306066,-6.203953506584479,3562763
2023-02-27,-6.798266887664795,-6.798266887664795,-6.139818397171169,-6.182574956819585,6575412
2023-02-28,-6.947915077209473,-7.332722518382965,-6.618690597827662,-6.841024076021634,7121781
2023-03-01,-7.396856784820557,-7.439613347408976,-7.063357390760806,-7.242934301221287,4121475
2023-03-02,-7.277139186859131,-7.5978121741301,-7.136043105080447,-7.478093965297384,4295694
2023-03-03,-7.277139186859131,-7.409683793253996,-7.118940154312811,-7.264311973783403,2721180
2023-03-06,-7.546504020690918,-7.661946490047277,-7.311344159865947,-7.375478593226069,3469526
2023-03-07,-8.230606079101562,-8.29901624620626,-7.33699735384374,-7.61063802226253,8126759
2023-03-08,-8.21350383758545,-8.67954865085594,-7.974068232079285,-8.166472353342732,9883937
2023-03-09,-8.286189079284668,-8.423010229754388,-8.13226661021571,-8.213503174399998,2822116
2023-03-10,-8.559831619262695,-8.739408534894556,-8.19640205006564,-8.290465838058092,3391450
2023-03-13,-8.876228332519531,-9.1669719697246,-8.13226710435492,-8.54272813416426,5857387
2023-03-14,-8.594037055969238,-9.14131848542702,-8.559831966628128,-8.910434336252933,3730871
2023-03-15,-8.730856895446777,-8.76506198275895,-8.256260595415961,-8.551279983179464,3314620
2023-03-16,-8.508522987365723,-8.936086964776196,-8.508522987365723,-8.824920232787846,3768456
2023-03-17,-8.585485458374023,-8.739408765989687,-8.423011490179213,-8.508523804566192,2733182
2023-03-20,-8.294740676879883,-8.705202503337812,-8.157920339898418,-8.585484300722262,2135980
2023-03-21,-8.153645515441895,-8.465767046070201,-8.055305989163983,-8.29474160569261,2270507
2023-03-22,-8.33749771118164,-8.547003966062523,-8.123715718587238,-8.153645067068283,2856282
2023-03-23,-8.47431755065918,-8.508522634814183,-8.204952614877715,-8.410183119807739,2120441
2023-03-24,-9.04725456237793,-9.32089527313739,-8.51279953947983,-8.547004628324764,9070220
2023-03-27,-9.945137977600098,-9.945137977600098,-9.252483991724423,-9.278138416933055,2992308
2023-03-28,-10.17602252960205,-10.740407675543793,-10.056305135580068,-10.44966403489569,12322630
